Food Type,Points,Total categories of food,Average
Dairy,,,2.21
Milk,82,31,2.62
Other Dairy,130,82,1.59
Meat,,,3.04
Chicken,59,20,2.95
Beef,201,64,3.14
Beverages,,,0.5
Water,0,30,0
Sports Drinks,21,32,0.97
Rice,29,25,1.16
Pasta,122,73,1.89
Juice,63,70,0.9
Snacks,356,176,2.02
Produce,,,0.52
Fruit,174,270,0.64
Vegetables,43,79,0.4
Cereal,158,126,1.25
Meals,960,315,2.91
